EVENT_id,EVENT_activity,EVENT_geo-location,EVENT_id,EVENT_satisfaction,EVENT_text_associated,EVENT_timestamp,JOURNEY_Sales_store_attribution,JOURNEY_cost,JOURNEY_id,JOURNEY_satisfaction,JOURNEY_success,JOURNEY_textual_feedback,CUSTOMER_address,CUSTOMER_country,CUSTOMER_email,CUSTOMER_favorite_color,CUSTOMER_first_name,CUSTOMER_gender,CUSTOMER_id,CUSTOMER_last_name,CUSTOMER_member_since,CUSTOMER_subscription_plan,CUSTOMER_url
eb7436a5-b03c-45f2-a31c-7734a18585fb,l,,eb7436a5-b03c-45f2-a31c-7734a18585fb,neutral,,1997-09-10 10:39:37,store g,255.55,15b72793-4ed1-4d69-b4f0-70a0ef025817,neutral,1.0,,"687 Rasmussen Isle Suite 897
West Jasmineville, SD 59099",Barbados,christian23@hotmail.com,Teal,Heidi,female,2e20d322-cc52-49a5-bb94-90fe2bcf6ea9,,2005,plan A,http://www.taylor.com/
a201469e-ef65-4e54-ac71-b6c6267aff8f,d,,a201469e-ef65-4e54-ac71-b6c6267aff8f,very high,,2012-08-08 12:58:21,store d,,3b68d9e6-fd32-4dbd-a18e-9ea75e1e2530,very high,1.0,,"562 Darrell Valleys
Port Isaiah, UT 68582",United Kingdom,brenda67@yahoo.com,DarkSalmon,Wendy,female,dbc73442-133f-4695-aa7b-b096031205ec,Gutierrez,1983,plan A,http://www.olson-knight.com/
09ec95f0-9975-4924-b991-4957b170a428,D,,09ec95f0-9975-4924-b991-4957b170a428,very high,,1990-11-05 16:10:44,store d,,540bb212-e7b9-4faa-8fcd-f07bf6d2c3e3,very low,1.0,,"6096 Don Village Apt. 230
Kellymouth, AR 06904",Puerto Rico,ambermiller@parker.biz,,Alexis,female,9a03391e-1986-4e5b-ad5c-5bdd449419b4,Woodard,1981,plan B,https://lopez.biz/
c2b9426b-59b1-498d-bc6a-ed99c0ba9c8e,A,,c2b9426b-59b1-498d-bc6a-ed99c0ba9c8e,high,,1980-01-11 17:47:16,store a,37.9,d6c32ee6-6785-4545-90ab-b9b1010d1747,neutral,0.0,Author first believe boy people different. Himself democratic interview employee. Actually anyone page watch girl water federal player.,,Finland,qchambers@collins.info,,Clayton,male,eb965a9d-01ac-405c-a7f9-4350cd479f36,Bates,1973,plan A,https://www.moore.com/
5ef8f6a2-362f-44bb-8243-c7c4cceaf7b3,t,,5ef8f6a2-362f-44bb-8243-c7c4cceaf7b3,low,"Beat me him but claim. Avoid course part different customer none hour. Simple woman phone.
Economic worry agency. Social window still tell building.
Seek meeting author which give president miss.",2014-01-09 06:29:07,store c,142.63,dfea9fe3-c303-46b4-a961-f608473e3fb3,,0.0,,"409 Samuel Ramp
South Alexander, ID 08895",Antarctica (the territory South of 60 deg S),michael70@gmail.com,Thistle,Vicki,male,7b401849-cc78-42cd-9642-f04d205e8852,Alvarez,1988,plan A,https://www.johnson.com/
21690347-9356-4bb3-9bd2-0e83b2f113e6,q,,21690347-9356-4bb3-9bd2-0e83b2f113e6,high,,1990-03-22 19:10:23,store c,38.69,29efa5b6-ab17-4b84-b121-ed62019b609f,very high,1.0,"Shoulder power almost determine skin finish.
New threat hand and enough operation. Itself avoid the appear. Get generation question.","0946 Franklin Forges
Clineside, VT 65196",Niger,fernandezmegan@rose-stephens.com,DimGray,Alyssa,male,fe7c2da7-d194-47be-b17f-22afb59c84ca,Hernandez,2014,plan B,https://www.donaldson.org/
9f7c3716-deaa-46be-bd29-fdb5cb8a1e7f,O,,9f7c3716-deaa-46be-bd29-fdb5cb8a1e7f,neutral,,2018-05-01 08:11:56,store f,232.76,83594293-5112-4558-97e2-499977fc33f6,very low,1.0,,"3121 Lisa Shores Apt. 128
Sarahland, SC 03412",Niger,uluna@jones.biz,PeachPuff,Hannah,female,1b03a74b-a69c-4364-b4dc-94cc3c3e819e,,1981,plan A,http://www.stewart-brown.net/
69869ee3-6c38-4466-b89b-376494be5597,s,"(Decimal('-43.370229'), Decimal('-44.614457'))",69869ee3-6c38-4466-b89b-376494be5597,low,,1982-06-05 02:38:29,store b,464.32,4e732284-3829-4b37-91de-459b6d029780,very low,0.0,"Wall house number toward. Truth life who also yes heart decide.
Indeed why truth. Consumer nor his character. Use visit particular.
Customer loss a wrong. Care performance voice action a.","0522 Roth Summit
New Stephanie, SC 40606",Dominican Republic,dchambers@gmail.com,DarkGoldenRod,Andrew,,b83232b6-ca18-4168-9b49-a33c2e565dce,Roth,1985,plan B,
b03c7f04-3699-40a9-9b29-6fcdee2388cc,P,"(Decimal('59.5402475'), Decimal('77.193615'))",b03c7f04-3699-40a9-9b29-6fcdee2388cc,neutral,,1999-08-11 09:52:14,store c,,23b1dbe8-39a2-4e39-bbea-11eb68bbb86a,very high,0.0,,"1965 James Highway Apt. 607
East Ashley, KY 31215",Belgium,friedmanemily@gmail.com,CadetBlue,Laura,female,f69044b7-f70a-495f-b4b1-a853ec7eae2d,Norton,1978,plan B,http://www.burke.org/
efd61c0d-ddb5-49a7-956e-3c07192cce70,Z,,efd61c0d-ddb5-49a7-956e-3c07192cce70,neutral,"Blood drop once green wait memory anyone. Send some different idea.
List realize cell. About budget success later share wonder whom. Budget management nice.",1970-05-18 16:59:44,store g,427.66,ba1c4a5c-6224-467f-8dad-54321cbaa6fa,very low,1.0,Them yard piece as one Congress yard. Table similar second least student. Across ever environment send office.,"226 Teresa Ports
Chelseyborough, DC 48726",Tajikistan,vsnyder@young.com,Gainsboro,Pamela,female,eee76e33-a46d-428b-8fae-890e5d41a28a,Webb,1974,plan A,https://www.nguyen.com/
62e9fac5-e341-4121-903f-636b4e6331e0,R,,62e9fac5-e341-4121-903f-636b4e6331e0,neutral,,1985-07-24 08:41:43,store c,,afda441b-c890-47fd-a93d-2ab3cedfccd6,neutral,,,"3640 Holland Mount
Lake Micheleport, MI 86581",Singapore,amymoreno@yahoo.com,LightCyan,William,female,a101638b-574c-482a-9412-b8ae03cd8b9c,Smith,1989,plan A,http://patton-tucker.info/
7a96580f-345e-427c-b94d-4fbc574a196d,O,,7a96580f-345e-427c-b94d-4fbc574a196d,very low,,1983-11-18 00:49:39,store b,317.68,ecde49d6-1d03-4298-b3fb-db6f00b7ce3f,neutral,0.0,,"47888 Anderson Wells
South Patrick, MT 43007",Syrian Arab Republic,julie70@bradley.com,,Jessica,female,591d902c-de21-4412-aef0-4ede9813d7a2,Navarro,1981,plan A,http://www.ware.net/
86195537-028e-4e43-9657-fca97506bd1a,S,,86195537-028e-4e43-9657-fca97506bd1a,low,,1986-06-27 21:05:57,store f,33.0,e6fd2974-5a13-427c-a9c4-40bb80d3799c,neutral,1.0,,"0522 Roth Summit
New Stephanie, SC 40606",Dominican Republic,dchambers@gmail.com,DarkGoldenRod,Andrew,,b83232b6-ca18-4168-9b49-a33c2e565dce,Roth,1985,plan B,
cdf6fb1f-fd6f-4941-b032-1e986742974b,g,"(Decimal('55.233341'), Decimal('-156.693409'))",cdf6fb1f-fd6f-4941-b032-1e986742974b,very high,,1989-01-16 19:29:47,store c,28.6,fc7e5b73-76a8-431d-8c73-f8cb4f5dccb5,very high,1.0,,"829 Williams Prairie Suite 449
Leeview, TN 86927",Fiji,rogersroger@hotmail.com,,Johnny,female,cce3ca6e-f993-46a5-ba5f-605455c3f362,Maldonado,1977,Plan C,
528e832c-3cdb-4711-a8e5-90ef5c6df94e,Q,,528e832c-3cdb-4711-a8e5-90ef5c6df94e,high,,1986-10-10 13:52:03,store f,155.42,8505f1fb-2ae9-41b3-9742-f89001c65e08,low,0.0,,"269 Reid Locks
Pamelafurt, FL 66505",Angola,christopherwatson@black.net,Wheat,Elijah,female,51513b0d-751a-4dec-8ac7-73b3d783f115,Phillips,2002,plan A,http://murray.net/
65ef2cf2-15be-4e0b-95cd-8fb34e0f60fd,u,,65ef2cf2-15be-4e0b-95cd-8fb34e0f60fd,neutral,,2012-07-07 16:24:04,store g,300.27,8840abe8-f417-4a20-9ffc-4b5069ecf6c6,neutral,0.0,Physical deal may budget off describe may. Near staff agree water. Middle garden away difficult approach land care health. Bill happy detail capital west trip.,"78480 Shea Crest
Lake Kristin, NM 27321",Cote d'Ivoire,btran@sullivan.com,,Teresa,male,92168f41-4740-455d-87bb-a9f9fe7100c6,Oliver,2011,Plan C,http://www.ward.net/
9a7f5c52-36db-4385-82f1-8cd700ba1484,l,,9a7f5c52-36db-4385-82f1-8cd700ba1484,low,,1976-05-05 00:42:28,store b,,54230625-6f23-4f96-84b9-6bf6159b3467,high,0.0,,"2425 Tammy Mission Apt. 021
Smithview, IA 35887",Puerto Rico,dennissandra@yahoo.com,,Ana,female,cfddb194-c73d-4218-adff-bce0b52be704,Pollard,2019,,http://www.roberts.biz/
62ae1876-5ab6-481b-bb82-b8b19a7e8499,N,,62ae1876-5ab6-481b-bb82-b8b19a7e8499,,,2009-02-15 12:19:48,store b,290.78,96baa78d-292b-47b7-a682-9dd423670d36,very low,0.0,,,Finland,qchambers@collins.info,,Clayton,male,eb965a9d-01ac-405c-a7f9-4350cd479f36,Bates,1973,plan A,https://www.moore.com/
74e6c621-7688-4d0e-969b-9c37f89024c0,W,,74e6c621-7688-4d0e-969b-9c37f89024c0,very high,,2014-08-17 16:36:46,store a,358.28,75066b0f-6667-4ef4-ab48-ae221d24a58a,neutral,1.0,,"7797 Rodriguez Junction
Gamblehaven, MN 53797",Dominican Republic,,HoneyDew,,male,83f9198f-94ae-412f-8a99-f35f3d52598c,Nash,2018,plan A,https://gibbs.com/
db50f1d8-f4d9-48d2-ac9c-ba464621e886,U,"(Decimal('10.0879275'), Decimal('176.530884'))",db50f1d8-f4d9-48d2-ac9c-ba464621e886,low,,2005-07-17 01:03:04,store d,24.32,7e24627c-c8c2-4566-ab66-cf27447c1b74,high,1.0,,"37301 Daniel Villages Suite 140
Moorefurt, WA 78602",Reunion,jacqueline50@gmail.com,Cornsilk,Jacob,male,f19a327d-6170-417e-990c-e8559bc73251,Morris,2005,plan A,https://baker-mccann.info/
0250095a-595e-484e-9120-b0605620fa39,n,,0250095a-595e-484e-9120-b0605620fa39,very high,,2007-09-14 20:50:37,store f,447.25,609f2953-b2c0-49b1-ac15-51bfa31d3606,low,1.0,,"0132 Elizabeth Dam Suite 957
South Brenda, HI 26217",Botswana,murphyjessica@gmail.com,Navy,Robert,male,c435db44-2641-4239-89a7-abe52a3956a9,Hernandez,1990,plan A,https://valdez.com/
ff9762de-b4dc-48d4-9110-48507f3f8554,z,,ff9762de-b4dc-48d4-9110-48507f3f8554,neutral,,2007-06-16 18:26:13,store d,358.96,de03cce7-6f2f-4cd1-b6b3-28c31f4a47cd,neutral,0.0,,"281 Jason Plains Apt. 088
West Joetown, LA 77771",Botswana,qturner@walker.com,Salmon,Jeffrey,female,ff9aaf8a-2d74-457c-8767-75b6ecebbe0c,Hunter,2011,plan A,https://www.gordon.biz/
d5274266-268e-4aee-97e4-741196e5af8f,b,,d5274266-268e-4aee-97e4-741196e5af8f,high,,1977-04-08 09:24:13,store b,443.03,95ab4930-8ed8-42bd-aa9b-bfc8472d3690,neutral,1.0,,"6140 King Village Suite 713
Timothyborough, PA 34647",Malta,timothy60@hotmail.com,Orange,Justin,,89ff45fb-f6af-415b-961f-a98fce351864,Mckenzie,2006,Plan C,http://miller.info/
761339b8-14cf-47f1-bc07-ec130b169775,g,,761339b8-14cf-47f1-bc07-ec130b169775,neutral,,1995-03-14 04:32:44,store d,358.96,de03cce7-6f2f-4cd1-b6b3-28c31f4a47cd,neutral,0.0,,"281 Jason Plains Apt. 088
West Joetown, LA 77771",Botswana,qturner@walker.com,Salmon,Jeffrey,female,ff9aaf8a-2d74-457c-8767-75b6ecebbe0c,Hunter,2011,plan A,https://www.gordon.biz/
fe7805ae-2638-4c11-8a79-1233eb1c2aa6,w,,fe7805ae-2638-4c11-8a79-1233eb1c2aa6,neutral,,1995-01-07 03:04:41,store c,,79639c1c-4fd2-4f2b-9177-4ae20e07506a,low,1.0,,"0946 Franklin Forges
Clineside, VT 65196",Niger,fernandezmegan@rose-stephens.com,DimGray,Alyssa,male,fe7c2da7-d194-47be-b17f-22afb59c84ca,Hernandez,2014,plan B,https://www.donaldson.org/
d698484b-2a7b-40e1-9b30-02e2edd24a37,x,"(Decimal('-29.8044025'), Decimal('-73.377296'))",d698484b-2a7b-40e1-9b30-02e2edd24a37,very low,,1972-11-26 22:03:42,store a,,299eed6b-4e4a-485b-8cc4-9cfb36411bcb,neutral,1.0,,"232 Rita Forges Suite 421
East Lisaton, AZ 37672",Nepal,lflores@robinson.com,Yellow,Travis,female,f4c29b24-6bd7-4d20-b7b9-a6410420d100,Avery,1974,plan A,http://www.shannon-walsh.com/
1751851e-9dd9-41e2-8b12-f22c33604cb7,Z,,1751851e-9dd9-41e2-8b12-f22c33604cb7,neutral,,2003-01-13 15:12:44,store b,100.55,f40c34c2-a01e-47f2-b2c3-e925f80336d3,neutral,0.0,,"829 Williams Prairie Suite 449
Leeview, TN 86927",Fiji,rogersroger@hotmail.com,,Johnny,female,cce3ca6e-f993-46a5-ba5f-605455c3f362,Maldonado,1977,Plan C,
c6d517f2-9fe2-49c7-8490-2954b28a4f92,G,,c6d517f2-9fe2-49c7-8490-2954b28a4f92,neutral,,1981-09-24 22:20:39,store e,491.66,cfe4f5ee-ed78-4967-8dbe-5647ded3d8d2,low,1.0,,"0764 Craig Mountains
Destinyhaven, NH 13047",Kyrgyz Republic,david00@gmail.com,,Joshua,male,434059f2-1db0-49f7-90ee-332d07a0af5e,Yu,1988,plan A,http://donovan-russell.com/
be3a92b8-bfaf-466a-b2ac-7acfb5582c35,u,"(Decimal('-22.394965'), Decimal('0.622009'))",be3a92b8-bfaf-466a-b2ac-7acfb5582c35,neutral,"Project address thank least book. Whole sister others off respond new.
Relationship member prepare test total responsibility. Edge something full laugh.",1995-07-08 05:18:59,store b,,f06cab6b-e06e-4dd2-846c-750d1636d122,very low,1.0,,"65048 Cruz Square
West Pamelabury, CT 66015",Antarctica (the territory South of 60 deg S),walshmichelle@yahoo.com,PowderBlue,James,male,0e2f346a-2af8-4400-84fd-90389d6def63,Jackson,1971,plan A,https://www.moreno-roth.com/
3b1ff321-a6f8-4e27-8ccf-8deebfae4e55,P,,3b1ff321-a6f8-4e27-8ccf-8deebfae4e55,low,,1987-07-16 13:06:14,store b,438.49,73216afa-9804-4103-824a-5cd08d433e94,very low,1.0,,"377 Johnston Prairie
Thomaston, ME 21646",Saint Helena,,,Emily,male,292ca986-8373-4277-b6c8-ea534b4b54de,Carpenter,1990,plan A,https://jones.com/
2168d130-0b72-4a4a-940e-6bf98a6503f7,e,"(Decimal('-47.350290'), Decimal('178.575886'))",2168d130-0b72-4a4a-940e-6bf98a6503f7,very low,,1988-03-08 20:32:09,store e,429.37,67d10644-cde2-4ea8-b5a1-6b326cf18d5d,,1.0,,"USNV Kelly
FPO AP 07312",Senegal,pattersondaniel@williams-schultz.com,Tomato,William,female,063bf769-d196-4bbc-959d-9b4aeaf89bab,Fisher,2005,plan A,http://www.cole.info/
48e74ba3-1448-43b3-a86c-b788e02e92d8,u,,48e74ba3-1448-43b3-a86c-b788e02e92d8,high,,1997-10-17 05:05:50,,,09c33c2b-607a-4012-a34a-d53d7529ae0e,high,,Story it simply serve help bill reflect hit. Or between participant care between. Action stock security drive general. Drive order from sign laugh.,"96490 Daniel Pike Suite 045
Jacksonmouth, TX 31849",Gambia,virginia19@nelson.info,Violet,Eric,male,414d21b7-4c39-478f-b745-bd94c6990119,,2011,plan A,https://www.foster-miller.com/
